Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-02 09:30:00-05:00,187.14999389648438,188.0500030517578,186.35000610351562,187.8300018310547,187.8300018310547,5458506
2024-01-02 09:31:00-05:00,187.8300018310547,188.1199951171875,187.6300048828125,187.76499938964844,187.76499938964844,809707
2024-01-02 09:32:00-05:00,187.77000427246094,188.44000244140625,187.72999572753906,188.29840087890625,188.29840087890625,687089
2024-01-02 09:33:00-05:00,188.30499267578125,188.30999755859375,187.80999755859375,188.16000366210938,188.16000366210938,485273
2024-01-02 09:34:00-05:00,188.14999389648438,188.14999389648438,187.6699981689453,187.72999572753906,187.72999572753906,416005
2024-01-02 09:35:00-05:00,187.75999450683594,188.07000732421875,187.66000366210938,188.02999877929688,188.02999877929688,387302
2024-01-02 09:36:00-05:00,188.0399932861328,188.0500030517578,187.66000366210938,187.6699981689453,187.6699981689453,387927
2024-01-02 09:37:00-05:00,187.6699981689453,187.80999755859375,187.55999755859375,187.5800018310547,187.5800018310547,350206
2024-01-02 09:38:00-05:00,187.5847930908203,187.625,187.1300048828125,187.38499450683594,187.38499450683594,421059
2024-01-02 09:39:00-05:00,187.3800048828125,187.58999633789062,187.36000061035156,187.52999877929688,187.52999877929688,280921
2024-01-02 09:40:00-05:00,187.5399932861328,187.55999755859375,187.02000427246094,187.1300048828125,187.1300048828125,435734
2024-01-02 09:41:00-05:00,187.13499450683594,187.17999267578125,186.66000366210938,186.66000366210938,186.66000366210938,389040
2024-01-02 09:42:00-05:00,186.66270446777344,186.9600067138672,186.50999450683594,186.5500030517578,186.5500030517578,375532
2024-01-02 09:43:00-05:00,186.5399932861328,186.5800018310547,186.2050018310547,186.22999572753906,186.22999572753906,544473
2024-01-02 09:44:00-05:00,186.23129272460938,186.410400390625,186.05999755859375,186.25999450683594,186.25999450683594,446614
2024-01-02 09:45:00-05:00,186.25,186.27000427246094,186.00999450683594,186.01400756835938,186.01400756835938,352297
2024-01-02 09:46:00-05:00,186.02999877929688,186.74000549316406,186.00999450683594,186.7100067138672,186.7100067138672,532757
2024-01-02 09:47:00-05:00,186.74000549316406,186.94000244140625,186.60000610351562,186.75999450683594,186.75999450683594,314894
2024-01-02 09:48:00-05:00,186.74000549316406,186.77999877929688,186.34469604492188,186.36000061035156,186.36000061035156,259080
2024-01-02 09:49:00-05:00,186.36000061035156,186.38999938964844,186.0800018310547,186.10000610351562,186.10000610351562,273912
2024-01-02 09:50:00-05:00,186.08999633789062,186.46499633789062,186.08999633789062,186.2218017578125,186.2218017578125,238478
2024-01-02 09:51:00-05:00,186.22000122070312,186.67999267578125,186.1300048828125,186.4600067138672,186.4600067138672,373719
2024-01-02 09:52:00-05:00,186.45620727539062,186.5050048828125,186.22999572753906,186.27999877929688,186.27999877929688,313140
2024-01-02 09:53:00-05:00,186.28500366210938,186.39999389648438,186.19000244140625,186.25,186.25,368243
2024-01-02 09:54:00-05:00,186.25999450683594,186.38999938964844,186.2050018310547,186.27999877929688,186.27999877929688,194064
